Code,Label
51330,Canning (C)
51400,Capel (S)
51470,Carnamah (S)
51540,Carnarvon (S)
51610,Chapman Valley (S)
51680,Chittering (S)
51750,Claremont (T)
51820,Cockburn (C)
51890,Collie (S)
51960,Coolgardie (S)
52030,Coorow (S)
52100,Corrigin (S)
52170,Cottesloe (T)
52240,Cranbrook (S)
52310,Cuballing (S)
52380,Cue (S)
52450,Cunderdin (S)
52520,Dalwallinu (S)
52590,Dandaragan (S)
52660,Dardanup (S)
52730,Denmark (S)
52800,Derby-West Kimberley (S)
52870,Donnybrook-Balingup (S)
52940,Dowerin (S)
53010,Dumbleyung (S)
53080,Dundas (S)
53150,East Fremantle (T)
53220,East Pilbara (S)
53290,Esperance (S)
53360,Exmouth (S)
53430,Fremantle (C)
53520,Geraldton-Greenough (C)
53570,Gingin (S)
53640,Gnowangerup (S)
53710,Goomalling (S)
53780,Gosnells (C)
53920,Halls Creek (S)
53990,Harvey (S)
54060,Irwin (S)
54130,Jerramungup (S)
54170,Joondalup (C)
54200,Kalamunda (S)
54280,Kalgoorlie/Boulder (C)
54340,Katanning (S)
54410,Kellerberrin (S)
54480,Kent (S)
54550,Kojonup (S)
54620,Kondinin (S)
54690,Koorda (S)
54760,Kulin (S)
54830,Kwinana (T)
54900,Lake Grace (S)
54970,Laverton (S)
55040,Leonora (S)
55110,Mandurah (C)
55180,Manjimup (S)
55250,Meekatharra (S)
55320,Melville (C)
55390,Menzies (S)
55460,Merredin (S)
55530,Mingenew (S)
55600,Moora (S)
55670,Morawa (S)
55740,Mosman Park (T)
55810,Mount Magnet (S)
55880,Mount Marshall (S)
55950,Mukinbudin (S)
56020,Mullewa (S)
56090,Mundaring (S)
56160,Murchison (S)
56230,Murray (S)
56300,Nannup (S)
56370,Narembeen (S)
56450,Narrogin (S)
56520,Narrogin (T)
56580,Nedlands (C)
56620,Ngaanyatjarraku (S)
56730,Northam (S)
56790,Northampton (S)
56860,Nungarin (S)
56930,Peppermint Grove (S)
57000,Perenjori (S)
57080,Perth (C)
57140,Pingelly (S)
57210,Plantagenet (S)
57280,Port Hedland (T)
57350,Quairading (S)
57420,Ravensthorpe (S)
57490,Rockingham (C)
57560,Roebourne (S)
57630,Sandstone (S)
57700,Serpentine-Jarrahdale (S)
57770,Shark Bay (S)
57840,South Perth (C)
57910,Stirling (C)
57980,Subiaco (C)
58050,Swan (C)
58190,Tammin (S)
58260,Three Springs (S)
58330,Toodyay (S)
58400,Trayning (S)
58470,Upper Gascoyne (S)
58510,Victoria Park (T)
58540,Victoria Plains (S)
58570,Vincent (T)
58610,Wagin (S)
58680,Wandering (S)
58760,Wanneroo (C)
58820,Waroona (S)
58890,West Arthur (S)
59030,Westonia (S)
59100,Wickepin (S)
59170,Williams (S)
59250,Wiluna (S)
59310,Wongan-Ballidu (S)
59320,Woodanilling (S)
59330,Wyalkatchem (S)
59340,Wyndham-East Kimberley (S)
59350,Yalgoo (S)
59360,Yilgarn (S)
59370,York (S)
59399,Unincorporated WA
59499,No usual address (WA)
60210,Break O'Day (M)
60410,Brighton (M)
60610,Burnie (C)
60810,Central Coast (M)
61010,Central Highlands (M)
61210,Circular Head (M)
61410,Clarence (C)
61510,Derwent Valley (M)
61610,Devonport (C)
61810,Dorset (M)
62010,Flinders (M)
62210,George Town (M)
62410,Glamorgan/Spring Bay (M)
62610,Glenorchy (C)
62810,Hobart (C)
63010,Huon Valley (M)
63210,Kentish (M)
63410,King Island (M)
63610,Kingborough (M)
63810,Latrobe (M)
64010,Launceston (C)
64210,Meander Valley (M)
64610,Northern Midlands (M)
64810,Sorell (M)
65010,Southern Midlands (M)
65210,Tasman (M)
65410,Waratah/Wynyard (M)
65610,West Coast (M)
65810,West Tamar (M)
69399,Unincorporated Tas
69499,No usual address (Tas.)
70200,Alice Springs (T)
70420,Barkly (S)
70540,Belyuen (S)
70620,Central Desert (S)
70700,Coomalie (S)
71000,Darwin (C)
71300,East Arnhem (S)
72200,Katherine (T)
72300,Litchfield (M)
72330,MacDonnell (S)
72800,Palmerston (C)
73600,Roper Gulf (S)
74050,Tiwi Islands (S)
74500,Victoria-Daly (S)
74560,Wagait (S)
74660,West Arnhem (S)
79399,Unincorporated NT
79499,No usual address (NT)
89399,Unincorporated ACT
89499,No usual address (ACT)
99399,Unincorp Other Territories
